GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0006259	DNA metabolic process	1.02248644329977e-25	3.03517028432143e-23	5.08 (51/176; 139/2435)	ostta01g00090 ostta01g02580 ostta01g04740 ostta01g05200 ostta01g06330 ostta02g01245 ostta02g01247 ostta03g03780 ostta03g05120 ostta04g00450 ostta04g00480 ostta04g02050 ostta04g04640 ostta04g04970 ostta04g05230 ostta05g00150 ostta05g00330 ostta05g00500 ostta05g01680 ostta05g02940 ostta05g03330 ostta05g04200 ostta06g02640 ostta06g02890 ostta08g00710 ostta08g02290 ostta08g03260 ostta08g03680 ostta09g02150 ostta09g02470 ostta09g02790 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta11g00910 ostta11g00940 ostta11g01400 ostta11g01840 ostta12g00110 ostta12g01020 ostta12g01670 ostta12g02040 ostta12g02485 ostta13g02040 ostta13g02280 ostta14g00420 ostta14g01050 ostta15g02820 ostta16g01940 ostta18g01440
GO:0006260	DNA replication	1.34482529846195e-19	1.99600386403301e-17	7.78 (27/176; 48/2435)	ostta01g00090 ostta01g02580 ostta01g05200 ostta04g00450 ostta04g04640 ostta04g04970 ostta05g00150 ostta05g00330 ostta05g01680 ostta05g02940 ostta06g02890 ostta08g00710 ostta08g03680 ostta09g02790 ostta10g00640 ostta11g00910 ostta11g00940 ostta11g01400 ostta11g01840 ostta12g00110 ostta12g01020 ostta12g02040 ostta12g02485 ostta13g02040 ostta14g01050 ostta15g02820 ostta18g01440
GO:0006261	DNA-dependent DNA replication	2.34168431875415e-09	2.31703501013568e-07	7.91 (12/176; 21/2435)	ostta01g02580 ostta04g00450 ostta04g04640 ostta04g04970 ostta05g01680 ostta05g02940 ostta11g00910 ostta11g00940 ostta12g01020 ostta12g02040 ostta13g02040 ostta14g01050
GO:0090304	nucleic acid metabolic process	1.04659884370248e-08	7.76686510326579e-07	1.97 (61/176; 428/2435)	ostta01g00090 ostta01g02580 ostta01g04740 ostta01g05200 ostta01g06330 ostta02g01245 ostta02g01247 ostta02g03500 ostta02g05080 ostta03g03780 ostta03g05120 ostta04g00450 ostta04g00480 ostta04g02050 ostta04g04640 ostta04g04970 ostta04g05230 ostta05g00150 ostta05g00330 ostta05g00500 ostta05g01680 ostta05g02940 ostta05g03330 ostta05g04200 ostta06g02460 ostta06g02590 ostta06g02640 ostta06g02890 ostta07g03620 ostta07g03920 ostta08g00710 ostta08g02290 ostta08g03260 ostta08g03680 ostta09g02150 ostta09g02470 ostta09g02790 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00610 ostta11g00630 ostta11g00910 ostta11g00940 ostta11g01400 ostta11g01840 ostta12g00110 ostta12g01020 ostta12g01670 ostta12g02040 ostta12g02485 ostta13g01280 ostta13g01820 ostta13g02040 ostta13g02280 ostta14g00420 ostta14g01050 ostta15g02820 ostta16g01940 ostta16g01980 ostta18g01440
GO:0006270	DNA replication initiation	9.15679391600707e-07	5.43624396697683e-05	9.68 (7/176; 10/2435)	ostta01g02580 ostta04g00450 ostta04g04640 ostta05g01680 ostta11g00910 ostta12g01020 ostta14g01050
GO:0006310	DNA recombination	1.08503009837052e-05	0.000508551343646365	7.45 (7/176; 13/2435)	ostta02g01245 ostta02g01247 ostta04g00480 ostta04g05230 ostta05g04200 ostta10g00640 ostta11g00630
GO:0006950	response to stress	1.19924341675473e-05	0.000508551343646365	3.04 (18/176; 82/2435)	ostta01g04740 ostta03g05120 ostta04g01060 ostta04g01080 ostta04g02050 ostta04g04970 ostta06g02640 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta12g01670 ostta13g02280 ostta14g00420 ostta16g01940
GO:0006974	cellular response to DNA damage stimulus	1.81072159181365e-05	0.000671873011699274	3.21 (16/176; 69/2435)	ostta01g04740 ostta03g05120 ostta04g02050 ostta04g04970 ostta06g02640 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta12g01670 ostta13g02280 ostta14g00420 ostta16g01940
GO:0033554	cellular response to stress	2.20031419608917e-05	0.000725717664675026	3.16 (16/176; 70/2435)	ostta01g04740 ostta03g05120 ostta04g02050 ostta04g04970 ostta06g02640 ostta08g02290 ostta08g03260 ostta09g02470 ostta10g00640 ostta10g02080 ostta10g02100 ostta11g00630 ostta12g01670 ostta13g02280 ostta14g00420 ostta16g01940
GO:0006996	organelle organization	5.23088362739878e-05	0.00155274650834364	3.1 (15/176; 67/2435)	ostta01g03890 ostta01g05630 ostta02g00100 ostta02g04910 ostta03g03780 ostta04g00490 ostta04g02380 ostta05g00500 ostta05g02940 ostta05g03330 ostta07g04210 ostta09g02150 ostta12g02040 ostta13g02990 ostta20g00160
