GO ID	Description	p-value	q-value	Enrichment (Target Ratio; BG Ration)	Genes
GO:0006396	RNA processing	7.50012141893876e-18	2.43951317731797e-15	3.02 (58/414; 113/2435)	ostta01g01860 ostta01g02560 ostta01g03000 ostta01g03580 ostta01g04110 ostta01g05840 ostta02g00430 ostta02g00960 ostta02g01230 ostta02g01790 ostta02g03180 ostta02g05090 ostta03g01300 ostta03g01880 ostta03g02410 ostta03g02530 ostta03g02610 ostta03g02850 ostta03g03740 ostta03g04970 ostta03g05380 ostta04g00770 ostta04g02020 ostta04g02900 ostta05g01450 ostta05g03750 ostta06g01040 ostta06g01560 ostta06g01660 ostta07g03020 ostta07g03190 ostta07g03480 ostta07g03560 ostta08g01000 ostta08g01400 ostta08g02930 ostta08g02990 ostta08g03080 ostta08g03090 ostta08g03440 ostta08g03590 ostta08g03690 ostta09g00820 ostta09g01210 ostta09g02180 ostta10g00010 ostta10g01740 ostta11g00220 ostta11g00590 ostta11g01810 ostta12g02890 ostta13g02140 ostta14g00300 ostta14g00750 ostta16g00610 ostta17g00250 ostta18g00310 ostta18g01160
GO:0034470	ncRNA processing	5.38469074867362e-14	8.75720758600078e-12	3.64 (34/414; 55/2435)	ostta01g03000 ostta02g00430 ostta02g01230 ostta02g01790 ostta02g05090 ostta03g01880 ostta03g02610 ostta03g02850 ostta03g03740 ostta03g04970 ostta03g05380 ostta04g00770 ostta04g02020 ostta05g01450 ostta05g03750 ostta06g01040 ostta06g01560 ostta06g01660 ostta07g03020 ostta07g03190 ostta08g01000 ostta08g01400 ostta08g02930 ostta08g03090 ostta08g03590 ostta09g00820 ostta09g01210 ostta10g01740 ostta11g00590 ostta11g01810 ostta12g02890 ostta14g00750 ostta16g00610 ostta17g00250
GO:0034660	ncRNA metabolic process	3.48873526746e-12	3.78252350050927e-10	2.76 (45/414; 96/2435)	ostta01g03000 ostta02g00430 ostta02g01230 ostta02g01790 ostta02g01970 ostta02g04600 ostta02g05090 ostta03g01880 ostta03g02610 ostta03g02850 ostta03g02860 ostta03g03740 ostta03g04970 ostta03g05145 ostta03g05380 ostta04g00770 ostta04g02020 ostta05g01450 ostta05g03750 ostta06g01040 ostta06g01560 ostta06g01660 ostta06g02530 ostta07g02780 ostta07g03020 ostta07g03190 ostta08g01000 ostta08g01400 ostta08g02930 ostta08g03090 ostta08g03590 ostta08g03610 ostta08g03770 ostta09g00820 ostta09g01210 ostta10g00100 ostta10g01740 ostta11g00590 ostta11g00980 ostta11g01810 ostta11g03280 ostta12g02890 ostta14g00750 ostta16g00610 ostta17g00250
GO:0016070	RNA metabolic process	2.68614062006183e-11	2.18425645157659e-09	1.86 (93/414; 294/2435)	ostta01g01860 ostta01g02560 ostta01g03000 ostta01g03580 ostta01g04110 ostta01g05840 ostta01g06310 ostta02g00430 ostta02g00960 ostta02g01230 ostta02g01790 ostta02g01970 ostta02g03180 ostta02g04600 ostta02g05090 ostta03g00770 ostta03g01300 ostta03g01880 ostta03g02220 ostta03g02410 ostta03g02530 ostta03g02610 ostta03g02740 ostta03g02850 ostta03g02860 ostta03g03270 ostta03g03740 ostta03g04970 ostta03g05145 ostta03g05380 ostta04g00770 ostta04g02020 ostta04g02900 ostta04g03460 ostta05g01320 ostta05g01450 ostta05g01940 ostta05g03750 ostta05g03840 ostta05g03900 ostta06g01040 ostta06g01560 ostta06g01660 ostta06g02360 ostta06g02530 ostta06g03350 ostta06g04610 ostta07g02780 ostta07g03020 ostta07g03190 ostta07g03410 ostta07g03480 ostta07g03560 ostta07g03620 ostta08g01000 ostta08g01400 ostta08g01730 ostta08g02930 ostta08g02990 ostta08g03080 ostta08g03090 ostta08g03440 ostta08g03590 ostta08g03610 ostta08g03690 ostta08g03770 ostta09g00820 ostta09g01210 ostta09g02180 ostta09g02190 ostta10g00010 ostta10g00100 ostta10g01740 ostta11g00220 ostta11g00590 ostta11g00980 ostta11g01810 ostta11g03280 ostta12g02890 ostta13g01650 ostta13g01890 ostta13g02140 ostta14g00300 ostta14g00750 ostta14g01230 ostta15g01060 ostta15g01440 ostta15g01750 ostta16g00610 ostta16g02540 ostta17g00250 ostta18g00310 ostta18g01160
GO:0008033	tRNA processing	7.13716161321058e-08	4.64291144943593e-06	3.36 (20/414; 35/2435)	ostta01g03000 ostta02g01230 ostta02g01790 ostta02g05090 ostta03g01880 ostta03g02610 ostta03g02850 ostta03g04970 ostta03g05380 ostta04g02020 ostta06g01040 ostta06g01660 ostta07g03020 ostta08g01000 ostta08g03590 ostta09g01210 ostta10g01740 ostta11g00590 ostta11g01810 ostta12g02890
GO:0006364	rRNA processing	1.99193691616399e-07	9.25576702398006e-06	4.12 (14/414; 20/2435)	ostta02g00430 ostta03g03740 ostta04g00770 ostta05g01450 ostta05g03750 ostta06g01560 ostta07g03190 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta14g00750 ostta16g00610 ostta17g00250
GO:0016072	rRNA metabolic process	1.99193691616399e-07	9.25576702398006e-06	4.12 (14/414; 20/2435)	ostta02g00430 ostta03g03740 ostta04g00770 ostta05g01450 ostta05g03750 ostta06g01560 ostta07g03190 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta14g00750 ostta16g00610 ostta17g00250
GO:0042254	ribosome biogenesis	2.38034635221918e-07	9.67798714257535e-06	3.42 (18/414; 31/2435)	ostta02g00430 ostta03g03740 ostta04g00770 ostta05g01080 ostta05g01450 ostta05g03750 ostta06g01560 ostta07g03190 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta12g02110 ostta14g00750 ostta15g01610 ostta16g00610 ostta17g00250 ostta17g00640
GO:0022613	ribonucleoprotein complex biogenesis	4.59829357284398e-07	1.66183943158923e-05	3.31 (18/414; 32/2435)	ostta02g00430 ostta03g03740 ostta04g00770 ostta05g01080 ostta05g01450 ostta05g03750 ostta06g01560 ostta07g03190 ostta08g01400 ostta08g02930 ostta08g03090 ostta09g00820 ostta12g02110 ostta14g00750 ostta15g01610 ostta16g00610 ostta17g00250 ostta17g00640
GO:0006399	tRNA metabolic process	5.25152350647463e-07	1.70812711947438e-05	2.4 (31/414; 76/2435)	ostta01g03000 ostta02g01230 ostta02g01790 ostta02g01970 ostta02g04600 ostta02g05090 ostta03g01880 ostta03g02610 ostta03g02850 ostta03g02860 ostta03g04970 ostta03g05145 ostta03g05380 ostta04g02020 ostta06g01040 ostta06g01660 ostta06g02530 ostta07g02780 ostta07g03020 ostta08g01000 ostta08g03590 ostta08g03610 ostta08g03770 ostta09g01210 ostta10g00100 ostta10g01740 ostta11g00590 ostta11g00980 ostta11g01810 ostta11g03280 ostta12g02890
